age,salary,study_hours,internet_access,experience,purchased
52,34760,1.66,1,0,0
36,75901,6.94,0,13,1
33,62654,8.63,1,8,1
20,51775,4.33,1,2,0
37,98400,4.99,0,17,1
41,51236,9.41,1,2,1
50,73584,0.32,0,6,0
41,15447,0.2,1,0,0
28,39865,1.72,0,2,0
25,30850,9.44,0,3,1
53,53580,4.86,1,4,0
55,92705,8.9,1,17,1
57,67266,0.05,1,5,0
37,21349,2.12,0,1,0
52,71850,5.54,1,9,0
42,70096,7.18,1,11,1
52,32308,1.1,1,1,1
42,126318,1.89,1,20,1
46,54436,2.94,1,4,0
35,65734,9.76,1,10,1
35,80017,6.16,1,16,1
19,44157,7.31,0,0,0
52,59798,2.19,1,12,0
33,55998,2.01,1,7,0
58,31118,4.12,1,0,1
53,91959,7.64,1,12,1
50,66182,2.98,1,4,0
21,28955,6.0,1,2,0
50,36918,0.21,1,0,0
31,52828,9.94,0,2,0
38,69237,3.71,1,7,0
37,41352,2.32,0,6,0
25,73586,2.03,0,7,0
24,32247,1.1,1,0,0
20,38754,1.65,1,2,0
34,70065,7.59,0,12,1
50,47078,3.0,1,2,0
29,67248,2.31,0,8,0
39,63137,1.79,1,5,0
39,71013,8.11,0,8,1
47,59661,5.65,1,8,1
55,87179,5.19,1,12,1
55,56229,8.84,1,3,0
25,62788,1.49,0,5,0
44,59037,1.5,0,8,0
44,79361,5.11,0,14,1
51,97083,7.07,1,14,1
38,53395,8.73,1,5,1
47,50063,4.39,1,7,0
50,45171,0.57,0,4,0
45,92626,0.09,1,15,1
50,96205,6.98,1,18,1
22,57328,5.39,0,4,0
36,62885,8.9,1,13,1
21,49587,3.25,0,3,0
52,41987,2.0,1,2,0
34,45866,8.97,1,3,0
45,49962,9.24,1,0,0
47,94812,9.94,1,15,0
46,60445,9.34,1,9,1
23,61292,3.46,0,5,1
52,46081,8.99,1,2,0
58,41099,6.91,1,1,0
54,65180,6.71,1,6,1
41,79838,1.52,1,9,0
46,49045,0.88,1,3,1
48,73113,1.3,1,6,0
52,69544,4.94,0,7,0
50,82479,6.05,1,15,1
38,84995,2.06,1,12,1
49,37925,4.36,0,1,0
40,49162,5.57,1,9,0
50,95814,3.17,1,18,1
20,46906,7.57,0,1,0
35,93268,1.06,1,15,1
42,79041,6.91,1,9,0
59,78354,0.98,1,18,1
48,95861,0.46,1,12,1
20,36918,1.54,1,2,0
57,75936,6.13,0,13,1
41,59683,6.26,0,11,0
49,97482,7.54,1,12,1
39,69069,2.26,1,11,0
40,48605,9.78,1,8,1
19,32713,3.65,0,0,0
44,70842,7.4,0,12,1
59,97565,7.96,0,13,1
19,31341,1.1,0,0,1
43,34349,7.96,1,2,0
34,49750,5.45,1,3,0
57,91795,2.35,1,15,1
50,94056,8.95,0,13,0
26,47646,8.45,1,7,1
60,60473,8.88,1,13,1
56,48407,4.07,1,2,0
46,44165,7.32,1,6,0
59,40522,5.46,0,4,0
43,70061,2.22,1,11,0
52,69900,3.18,0,13,1
42,77121,3.61,1,16,1
41,64916,8.4,1,10,1
30,84683,3.49,1,11,1
24,54426,8.95,1,5,0
53,105954,3.09,1,19,1
37,47527,9.57,1,2,1
18,43510,8.12,1,0,0
25,47442,5.06,0,0,0
33,96689,6.34,0,12,1
31,64413,6.78,1,6,1
29,42112,0.59,1,4,0
40,46502,0.1,1,0,0
32,79680,1.83,1,7,1
45,67685,5.16,1,11,1
51,113701,8.02,1,16,1
19,28173,6.71,1,1,0
49,76612,0.24,1,16,1
40,82975,3.27,1,14,1
39,61014,2.14,1,10,0
42,50053,2.75,1,2,0
39,66454,7.11,1,10,1
39,64601,0.5,1,10,0
59,76718,6.87,0,13,1
23,22718,8.49,1,2,0
32,23026,5.59,0,0,1
60,28777,2.18,1,2,0
54,35406,6.86,0,4,0
50,95046,8.75,1,12,1
25,20576,2.02,0,1,0
22,63948,8.86,0,4,0
56,56772,1.65,0,5,0
21,39259,8.57,1,0,0
23,54754,7.88,0,5,0
49,49678,9.1,1,3,0
47,122483,0.1,0,17,1
52,64213,9.12,0,8,1
57,66338,7.57,1,7,1
33,73436,2.45,1,9,0
30,74493,9.19,1,12,1
59,75991,7.51,1,12,1
47,77065,8.93,1,16,1
36,58917,7.51,1,4,0
34,92646,3.08,1,14,1
36,66150,8.46,1,13,1
45,85690,7.42,1,12,1
43,34185,1.34,1,4,0
54,103435,8.61,1,14,1
43,89200,6.11,1,16,1
40,28110,4.44,1,1,0
26,73360,1.79,1,7,0
29,72105,1.4,1,9,0
18,42354,6.29,1,0,0
18,21367,1.29,1,0,0
51,56539,4.88,1,5,0
49,95473,2.89,1,13,1
42,78767,6.99,1,8,1
57,75371,2.61,1,11,1
18,47968,5.39,1,0,0
33,93538,9.13,1,14,1
56,44455,3.18,1,1,0
22,60268,8.79,1,4,1
39,66811,3.76,1,11,1
46,16179,6.58,1,0,0
20,39222,2.5,0,1,0
29,83013,1.2,1,9,0
43,79966,9.66,1,11,1
33,51977,3.2,0,7,1
54,58575,1.39,1,3,0
39,44399,4.75,1,4,0
46,115102,4.24,1,15,1
31,29884,3.87,0,4,0
45,103060,8.31,1,13,1
22,41216,3.37,0,4,0
47,29193,7.38,1,3,0
22,37587,8.07,1,2,0
29,83069,3.79,1,11,1
33,87727,1.71,1,12,1
43,42111,5.53,0,2,0
43,46300,3.22,0,4,0
38,86370,1.88,1,14,1
56,47680,8.28,1,0,0
53,106491,0.69,1,19,1
50,61995,7.4,1,8,0
47,28286,4.09,1,1,0
54,104124,5.5,1,16,0
40,79137,2.89,0,8,0
27,74008,1.28,1,9,0
22,37395,7.74,1,3,1
53,52660,7.82,0,4,1
51,50956,6.1,1,11,1
48,47101,5.34,0,7,0
27,66123,9.33,1,7,1
36,41890,1.24,1,4,1
49,89019,8.75,1,14,0
18,22176,5.28,1,0,0
22,22008,5.77,1,1,0
21,56041,7.32,1,2,0
33,32381,6.69,1,1,0
41,65013,5.19,1,10,1
33,40513,1.86,1,5,1
19,31945,0.51,0,1,0
45,54640,6.5,1,2,0
49,93330,0.58,0,15,1
44,76791,1.67,1,19,1
37,103383,6.46,1,17,1
41,94230,8.89,1,16,1
29,70788,7.35,1,6,1
52,89785,2.52,1,16,1
50,88656,6.09,1,9,1
50,32635,1.14,1,4,0
60,99509,9.74,1,11,1
54,23682,1.45,1,1,0
29,74478,4.13,1,8,0
20,54011,4.04,1,2,1
18,47676,5.79,1,0,0
50,48639,1.92,1,5,0
57,64680,2.03,1,6,1
27,62134,2.06,1,8,0
60,39252,8.11,1,2,0
46,90383,4.8,1,15,0
30,51989,8.25,0,7,0
29,32879,2.53,0,3,0
48,70882,9.7,1,6,1
19,30912,7.81,0,1,1
52,95682,9.74,0,16,1
40,95504,0.74,1,19,0
34,58542,7.97,1,14,1
43,81760,0.52,1,8,0
25,30101,3.6,1,0,0
46,41294,1.95,0,6,0
43,23773,2.31,0,2,0
27,22909,2.52,1,2,0
43,57269,5.75,1,2,0
51,81407,7.56,1,14,1
58,94917,6.8,1,10,1
24,53528,8.5,1,5,0
21,29767,1.21,0,0,0
28,75123,8.41,1,10,1
46,86471,4.44,1,12,1
53,35837,4.12,1,1,0
42,79574,0.31,1,12,0
38,104347,0.42,1,12,1
53,63362,1.07,1,15,0
27,28129,6.53,1,0,0
54,35699,4.4,1,1,0
26,35394,1.5,0,1,0
41,30181,6.08,1,3,0
52,24094,5.83,1,1,0
52,87335,5.53,1,19,1
53,36653,6.67,1,3,0
35,79858,9.18,1,12,1
56,83709,0.93,1,12,1
49,42213,0.39,1,0,1
41,27382,7.7,1,2,0
40,130057,6.58,0,19,0
49,101090,4.3,1,14,1
54,43799,8.46,0,2,0
29,31569,7.14,1,0,0
30,72036,3.7,1,9,1
40,85595,4.17,0,10,0
42,39729,3.63,1,7,0
52,26225,7.47,1,0,0
58,86238,2.57,0,12,0
47,59117,8.08,1,10,0
34,56099,0.26,0,8,0
37,75261,8.6,1,10,1
42,60096,9.53,1,10,1
39,57232,4.38,1,8,0
30,43420,9.23,0,0,0
36,55758,2.0,1,7,0
53,99468,4.61,1,19,1
29,57852,0.75,1,2,0
58,113814,4.22,1,17,1
36,116153,5.67,1,18,1
29,55984,0.43,1,8,0
26,32197,6.68,1,4,0
24,65245,2.71,1,5,0
45,56056,8.34,1,5,1
31,81522,4.8,1,12,1
48,116632,8.16,1,18,1
36,132599,9.39,1,18,1
33,56837,5.32,1,10,1
22,50920,7.66,1,2,0
52,102394,9.0,1,11,1
29,76889,1.54,1,9,0
42,105202,7.51,1,19,1
38,85930,1.8,0,8,0
53,101593,6.42,0,14,1
40,100802,4.53,0,18,1
33,87797,0.81,1,14,1
56,48181,5.26,1,5,0
59,46440,4.06,0,2,0
56,110408,5.42,1,18,1
31,86796,6.92,1,12,1
48,45179,9.54,1,5,1
22,20673,0.71,0,0,0
52,16458,0.87,0,0,1
40,57378,7.97,1,11,1
46,80279,1.55,1,11,0
60,92920,2.47,1,15,1
28,39843,3.69,1,3,0
35,25659,9.31,1,2,0
29,42126,10.0,1,6,1
26,35061,5.28,1,6,0
27,50655,1.06,1,3,0
34,98220,9.52,1,12,1
55,70576,8.73,1,7,1
24,38590,8.59,1,3,0
30,50119,1.06,0,1,0
57,36244,8.74,1,3,0
59,27550,2.45,1,2,0
26,38161,7.79,1,4,0
44,125249,0.03,1,19,1
19,40018,0.87,1,1,0
22,54514,3.03,0,2,0
46,25162,2.12,0,2,0
54,111329,1.98,1,19,1
55,90475,8.06,1,13,1
36,41818,7.37,1,2,0
25,64057,8.12,1,7,1
18,41467,6.93,1,0,0
39,111912,5.31,1,18,1
34,60667,1.83,0,3,0
24,49030,3.42,1,1,0
42,51084,2.82,1,7,0
21,28515,2.08,1,2,0
53,97565,9.85,1,16,1
23,67550,6.26,1,4,0
48,45322,6.26,1,3,0
36,75349,4.3,1,9,1
56,83203,3.65,1,10,1
44,65056,6.87,1,8,1
27,45088,6.59,1,0,0
43,104108,3.28,1,16,0
36,110668,1.03,1,17,1
56,50069,1.17,1,3,0
20,55942,7.67,1,2,0
30,33262,1.87,1,1,0
45,58697,1.92,1,6,0
37,34672,6.56,1,0,0
45,62976,8.46,0,13,1
25,46844,4.55,1,3,0
58,60936,1.42,1,8,0
56,113753,3.04,1,14,1
18,32566,7.05,1,0,1
20,41789,6.14,0,2,0
30,41271,6.95,0,1,0
45,131572,3.21,1,18,1
42,58868,9.24,1,8,1
50,40303,1.88,0,7,0
55,55633,8.0,1,3,1
23,44355,2.66,1,3,0
49,130222,0.56,1,20,1
38,116510,7.79,1,19,1
33,100003,6.87,1,15,1
38,117067,5.1,1,20,1
28,23065,5.47,1,0,0
54,93038,5.54,0,12,1
53,76045,5.55,1,14,1
52,95290,8.76,1,15,1
36,100555,6.67,1,17,1
37,42745,6.18,0,1,0
35,87100,1.23,1,17,1
58,60875,4.08,0,12,0
31,29367,9.63,1,0,0
32,80530,9.76,0,10,0
48,108757,5.47,1,20,1
18,15548,9.72,1,0,0
20,33043,7.67,1,1,0
33,40357,8.31,0,1,0
40,83858,7.6,1,16,1
28,82382,1.5,0,9,0
29,36047,3.48,0,2,0
27,30844,9.76,1,1,0
49,60766,9.84,1,11,1
33,55131,6.14,1,7,0
25,73688,0.22,1,5,0
55,41594,7.02,1,0,0
29,70494,2.61,0,8,0
41,73898,3.84,0,12,0
45,43345,7.95,1,2,0
25,22357,0.9,1,1,0
45,66565,4.9,1,8,1
53,89609,7.25,1,11,1
43,88364,9.29,1,15,1
25,57597,4.58,0,7,0
45,121520,1.57,1,18,1
45,108583,1.01,1,17,1
54,53403,9.7,1,4,1
58,98031,8.83,1,11,0
53,78412,2.38,1,8,1
44,41957,9.28,0,3,0
34,103834,5.13,1,14,1
26,80410,9.05,0,8,1
50,64300,3.63,1,8,0
37,86111,8.37,0,13,1
30,56521,1.55,0,2,0
45,97443,6.64,1,15,1
46,49114,1.91,0,8,0
30,44109,9.93,0,6,0
52,68964,6.48,1,5,1
23,62342,5.8,1,5,0
35,125825,3.01,1,17,1
22,26546,1.49,1,1,0
42,35186,1.46,1,0,0
19,41625,1.17,1,1,0
27,42930,6.56,0,7,0
47,126069,7.91,1,20,1
22,37953,9.03,1,3,0
50,99526,4.07,1,17,1
18,16711,5.37,1,0,1
35,32294,5.72,1,2,0
49,87445,1.53,1,18,1
28,69020,4.15,0,5,0
38,36957,2.82,1,5,0
43,53987,7.4,0,8,0
42,23269,5.06,1,0,0
39,81682,2.43,0,10,0
44,96963,3.81,1,11,0
30,75823,1.43,1,12,0
50,73999,6.45,1,9,1
51,87724,1.02,1,11,1
58,23847,9.62,1,0,0
52,55942,3.94,1,3,0
18,32195,8.96,1,0,0
38,56963,8.66,1,4,1
23,39715,6.49,1,2,1
45,71772,1.68,1,10,0
34,48619,5.05,1,0,0
22,39173,4.28,0,4,0
48,139285,0.07,1,20,1
22,25960,9.02,1,0,0
55,45651,7.26,1,1,0
20,49697,1.0,1,2,0
40,45798,4.14,1,3,1
54,69194,4.59,1,11,1
54,51149,5.16,1,3,0
27,57088,3.72,1,6,0
27,61402,0.41,0,5,0
36,56578,4.23,1,5,0
34,66227,4.37,1,13,1
38,34109,2.73,1,0,0
31,52119,3.58,0,8,0
26,65523,8.17,1,6,1
18,16369,1.21,1,0,1
30,25743,8.3,0,2,0
21,28184,7.65,1,1,0
18,20153,8.76,1,0,0
57,100497,5.77,0,19,1
49,19651,2.95,1,0,0
51,114121,6.67,1,17,1
45,43187,3.04,1,5,0
48,68887,5.85,1,6,1
25,66066,7.37,1,4,1
56,71432,9.21,1,14,0
43,24746,9.0,0,1,0
51,28318,6.57,1,2,0
20,28124,5.95,0,0,0
29,15113,2.71,0,0,0
18,46528,3.57,0,0,0
22,34957,1.26,0,4,0
47,88724,1.01,0,12,0
47,83232,2.69,1,12,1
34,83017,5.46,1,12,1
40,44708,0.67,1,6,0
32,70400,0.48,1,13,0
54,51644,2.5,1,3,0
38,30843,1.28,1,3,0
31,64469,3.3,1,12,1
19,42685,5.73,0,1,0
28,27633,1.73,1,0,0
56,71071,6.19,1,11,1
55,91669,6.1,1,16,1
51,90418,3.15,1,16,1
55,19279,4.66,1,1,0
51,65764,0.71,1,6,0
35,70121,7.55,0,9,0
47,41894,8.41,1,6,1
32,60966,3.3,1,6,0
44,112906,0.47,1,20,1
51,67916,2.13,0,10,0
55,59478,6.56,1,3,0
50,40772,5.86,0,2,1
41,23441,3.82,0,1,0
32,45936,4.25,1,3,1
47,95706,4.35,1,16,0
59,89196,9.2,1,19,1
34,44926,0.14,0,3,1
22,46933,6.68,1,0,0
46,99048,9.71,1,18,1
21,56564,8.27,1,2,0
27,67423,1.96,1,9,0
34,71663,2.12,1,15,1
27,57626,2.44,0,5,0
34,61457,2.68,1,8,0
37,78706,5.08,1,9,1
41,57707,4.63,1,8,0
22,44636,4.91,1,2,0
51,77319,0.08,0,12,0
23,51213,1.91,0,3,0
19,42982,1.16,1,0,0
30,37543,3.83,0,0,0
60,119248,0.05,1,20,1
60,37937,7.02,1,3,0
28,47443,1.46,1,2,0
40,78263,8.08,1,14,0
33,73185,1.41,1,7,0
48,86892,3.14,0,15,1
28,46763,5.02,0,9,0
33,53441,9.42,1,6,1
25,38234,7.23,0,7,0
21,43753,2.12,1,3,0
57,106999,8.71,0,17,1
21,34357,2.65,1,3,0
42,67562,7.65,1,7,1
20,23993,9.7,1,2,0
49,64527,9.05,1,9,1
20,51301,8.74,1,2,0
44,50988,1.71,1,3,0
46,77238,3.91,1,16,1
49,80734,0.24,1,13,1
36,49947,5.12,1,5,0
38,23561,2.89,1,2,0
22,44808,8.35,1,4,0
35,41994,4.81,1,7,0
45,103383,9.0,1,19,1
59,72228,5.79,0,8,0
39,65567,1.7,0,4,0
38,107834,0.12,1,20,1
23,68196,3.38,1,4,0
18,25472,3.01,0,0,0
22,34123,6.23,1,0,0
58,43918,9.56,1,5,1
29,34285,8.79,0,1,0
43,106590,7.57,1,18,1
51,124265,4.84,1,19,1
31,59365,3.14,1,6,0
43,65651,1.57,1,9,0
44,123125,8.44,1,20,1
26,46739,7.38,1,1,1
43,90883,9.47,1,16,1
39,100888,4.08,1,20,1
47,103553,8.85,0,19,1
60,54611,7.4,1,5,1
34,43436,5.97,1,1,0
43,104463,4.22,1,18,1
53,110997,1.55,1,19,1
18,38246,7.63,1,0,0
25,47528,2.08,1,5,0
52,104196,4.27,0,15,1
32,46351,0.75,1,8,0
39,88372,8.28,1,11,1
31,58849,4.37,1,10,0
43,88325,2.75,0,11,0
45,48239,4.21,1,1,0
40,46063,4.34,0,5,0
31,75509,6.43,1,11,1
41,22144,9.52,1,1,0
19,33231,8.0,1,0,0
43,91948,7.54,1,12,0
31,74495,2.37,1,7,0
24,33038,1.44,1,3,0
20,27525,7.27,0,0,0
40,126165,6.78,1,17,1
60,121862,9.5,0,20,1
35,90731,3.07,0,14,1
55,61964,6.38,1,11,1
52,93405,8.98,1,10,1
32,79021,7.14,1,12,1
42,49130,3.0,0,4,1
54,68497,4.78,0,10,0
45,75986,5.86,1,16,1
27,67086,9.34,1,9,1
56,99078,5.97,1,18,1
34,44435,3.45,1,7,0
56,43721,8.25,0,3,0
39,96531,6.62,0,15,0
43,112995,2.85,1,13,1
42,42891,9.25,0,0,0
34,51324,4.8,0,5,0
30,76213,1.16,1,12,0
37,99886,9.16,1,17,1
42,97234,3.32,1,19,1
21,53353,5.04,1,3,0
27,78579,7.85,1,7,1
20,49900,0.21,1,2,0
58,94779,2.66,1,13,1
35,35647,9.98,1,4,0
53,22746,5.87,1,0,0
39,117277,3.4,1,19,1
51,36203,3.48,1,2,0
25,44892,7.91,1,5,0
57,64217,4.36,1,10,1
36,78551,1.38,1,9,0
59,65749,9.31,0,7,1
58,69676,4.19,0,8,0
54,53786,5.05,1,6,0
23,48261,7.82,0,2,0
43,28952,2.88,1,2,1
51,122576,1.22,1,20,0
23,36523,2.85,1,4,0
54,24651,1.85,1,0,0
50,85346,6.45,0,13,1
39,87698,6.4,1,13,0
38,111796,1.28,0,17,1
23,53247,2.78,0,3,0
23,35089,3.5,1,2,0
21,30589,3.71,1,2,0
47,99603,7.21,1,19,0
28,66213,0.19,1,6,0
47,90374,8.23,1,15,1
48,98278,8.78,1,19,0
41,64368,4.71,1,8,1
26,37796,4.61,1,6,0
20,44563,4.98,1,1,0
48,83089,5.69,0,9,1
57,70701,4.83,1,12,1
54,31996,3.74,0,3,0
53,48189,3.54,1,3,0
41,89102,5.74,1,18,1
48,111956,8.35,1,16,1
23,40139,0.38,0,3,0
19,17179,3.57,1,0,0
37,83012,0.17,1,13,1
45,55915,3.2,1,4,0
28,49710,2.74,1,8,0
21,39795,9.97,1,3,0
32,78809,0.81,1,9,0
23,32424,5.43,1,5,0
47,60071,6.17,1,6,1
55,79356,7.41,0,13,1
19,32212,3.95,1,0,0
32,99079,9.53,1,11,1
28,47803,6.23,1,3,0
25,33504,6.79,1,3,1
43,108906,4.05,1,19,1
22,22712,5.58,1,0,0
23,34987,2.02,1,3,1
43,73440,5.94,1,10,1
21,55625,3.34,0,2,0
36,75574,9.28,1,11,1
37,64920,5.28,0,12,0
50,95278,2.96,1,17,1
37,95506,4.88,1,13,1
29,42535,3.11,1,1,0
18,22781,5.19,1,0,0
43,112705,4.08,0,20,1
31,95960,0.97,0,11,0
55,48609,7.86,1,4,1
54,70355,1.27,1,6,0
28,41175,1.15,1,3,0
53,108760,8.14,0,19,1
30,26708,7.89,1,1,0
60,113911,2.72,1,17,1
20,28931,5.93,1,1,0
50,83258,3.06,1,14,0
23,59280,5.23,1,3,0
27,18771,3.12,1,1,0
22,35181,3.03,1,1,0
40,33950,8.27,1,3,0
27,30594,4.34,1,2,0
19,31986,6.42,0,1,1
30,79872,0.92,1,9,0
57,48439,0.95,1,3,0
19,31438,0.46,1,1,1
37,43431,7.47,1,2,0
18,22114,8.29,1,0,0
54,94078,9.57,1,16,1
26,52314,7.53,1,3,0
34,42595,7.77,1,6,0
26,47970,6.8,0,1,0
28,62704,3.24,1,9,1
32,73269,9.56,1,9,1
41,43084,3.18,1,1,0
55,48767,1.76,1,5,0
52,50572,5.19,1,4,1
47,98036,1.18,1,19,1
48,48549,5.66,1,5,0
22,38627,8.59,1,2,0
31,80691,5.56,1,11,1
